,ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
108,ACIW,"ACI Worldwide, Inc.",stocks,us,XNAS,CS,True,usd,0000935036,BBG000PMBV39,BBG001S9KLL5,2022-12-15T00:00:00Z
109,ACLS,Axcelis Technologies Inc,stocks,us,XNAS,CS,True,usd,0001113232,BBG000DW34S2,BBG001SF8W86,2022-12-15T00:00:00Z
110,ACLX,"Arcellx, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001786205,BBG00QHJM4S9,BBG00QHJM4W4,2022-12-15T00:00:00Z
111,ACM,Aecom,stocks,us,XNYS,CS,True,usd,0000868857,BBG000F61RJ8,BBG001SKTTF1,2022-12-15T00:00:00Z
112,ACMR,"ACM Research, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001680062,BBG00HPSG933,BBG00HPSG942,2022-12-15T00:00:00Z
113,ACN,Accenture PLC,stocks,us,XNYS,CS,True,usd,0001467373,,,2022-12-15T00:00:00Z
114,ACNB,ACNB Corp,stocks,us,XNAS,CS,True,usd,0000715579,BBG000BJ2LY9,BBG001S6CVZ3,2022-12-15T00:00:00Z
115,ACNT,Ascent Industries Co. Common Stock,stocks,us,XNAS,CS,True,usd,0000095953,BBG000CLRHW7,BBG001S6Z1R3,2022-12-15T00:00:00Z
116,ACON,"Aclarion, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001635077,BBG014FBN4K3,BBG014FBN5N7,2022-12-15T00:00:00Z
117,ACONW,"Aclarion, Inc. Warrant",stocks,us,XNAS,WARRANT,True,usd,0001635077,BBG016Z2HS66,,2022-12-15T00:00:00Z
118,ACOR,"Acorda Therapeutics, Inc.",stocks,us,XNAS,CS,True,usd,0001008848,BBG000FD10V8,BBG001SH8359,2022-12-15T00:00:00Z
119,ACP,abrdn Income Credit Strategies Fund,stocks,us,XNYS,FUND,True,usd,0001503290,BBG0017VSC04,BBG001TCSLH4,2022-12-15T00:00:00Z
120,ACPpA,abrdn Income Credit Strategies Fund  5.250% Series A Perpetual Preferred Stock,stocks,us,XNYS,PFD,True,usd,0001503290,,,2022-12-15T00:00:00Z
121,ACQR,Independence Holdings Corp. Class A Ordinary Share,stocks,us,XNAS,CS,True,usd,0001837393,,,2022-12-15T00:00:00Z
122,ACQRU,Independence Holdings Corp. Units,stocks,us,XNAS,UNIT,True,usd,0001837393,,,2022-12-15T00:00:00Z
123,ACQRW,Independence Holdings Corp. Warrant,stocks,us,XNAS,WARRANT,True,usd,0001837393,,,2022-12-15T00:00:00Z
124,ACR,ACRES Commercial Realty Corp.,stocks,us,XNYS,CS,True,usd,0001332551,BBG000HK4RX6,BBG001SP6Y91,2022-12-15T00:00:00Z
125,ACRE,Ares Commercial Real Estate Corporation,stocks,us,XNYS,CS,True,usd,0001529377,BBG0022MMQB0,BBG0022MMR46,2022-12-15T00:00:00Z
126,ACRO,Acropolis Infrastructure Acquisition Corp.,stocks,us,XNYS,CS,True,usd,0001847891,BBG00ZTH7611,BBG00ZTH7620,2022-12-15T00:00:00Z
127,ACRO.U,"Acropolis Infrastructure Acquisition Corp. Units, each consisting of one share of Class A Common Stock and one-third of one Warrant",stocks,us,XNYS,UNIT,True,usd,0001847891,BBG00ZNTZPQ1,BBG00ZNTZQK5,2022-12-15T00:00:00Z
128,ACRO.WS,"Acropolis Infrastructure Acquisition Corp. Warrants, each exercisable for one share of Class A Common Stock at an exercise price of $11.50 per share",stocks,us,XNYS,WARRANT,True,usd,0001847891,BBG010CHWYS7,,2022-12-15T00:00:00Z
129,ACRS,"Aclaris Therapeutics, Inc.",stocks,us,XNAS,CS,True,usd,0001557746,BBG003LF0QR9,BBG003LF0QS8,2022-12-15T00:00:00Z
130,ACRV,"Acrivon Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001781174,BBG011RWR2Q4,BBG011RWR2R3,2022-12-15T00:00:00Z
131,ACRX,"AcelRx Pharmaceuticals, Inc",stocks,us,XNAS,CS,True,usd,0001427925,BBG0018YYFX7,BBG001TFZCK5,2022-12-15T00:00:00Z
132,ACRpC,"ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock, par value $0.001 per share",stocks,us,XNYS,PFD,True,usd,0001332551,,,2022-12-15T00:00:00Z
133,ACRpD,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,stocks,us,XNYS,PFD,True,usd,0001332551,,,2022-12-15T00:00:00Z
134,ACSI,American Customer Satisfaction ETF,stocks,us,BATS,ETF,True,usd,,BBG00F40VFY6,BBG00F40VGP4,2022-12-15T00:00:00Z
135,ACST,"Acasti Pharma, Inc.",stocks,us,XNAS,CS,True,usd,0001444192,BBG001NMDXS6,BBG001SFYCM5,2022-12-15T00:00:00Z
136,ACT,"Enact Holdings, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001823529,BBG00WSNP4R3,BBG00WSNP4S2,2022-12-15T00:00:00Z
137,ACTG,Acacia Research Corporation,stocks,us,XNAS,CS,True,usd,0000934549,BBG000KF9J02,BBG001SJLJT9,2022-12-15T00:00:00Z
138,ACTV,LeaderShares Activist Leaders ETF,stocks,us,ARCX,ETF,True,usd,,BBG00Y002P42,BBG00Y002QG7,2022-12-15T00:00:00Z
139,ACU,Acme United Corporation,stocks,us,XASE,CS,True,usd,0000002098,BBG000BB3LM8,BBG001S5NCC0,2022-12-15T00:00:00Z
140,ACV,Virtus Diversified Income & Convertible Fund,stocks,us,XNYS,FUND,True,usd,0001636289,BBG008HMBD22,BBG008HMBD31,2022-12-15T00:00:00Z
141,ACVA,ACV Auctions Inc. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001637873,BBG00G5JGQ66,BBG00G5JGQ75,2022-12-15T00:00:00Z
142,ACVF,American Conservative Values ETF,stocks,us,ARCX,ETF,True,usd,,BBG00Y04Q9T7,BBG00Y04QBN8,2022-12-15T00:00:00Z
143,ACWF,iShares MSCI Global Multifactor ETF,stocks,us,ARCX,ETF,True,usd,0001100663,BBG008LNZHV8,BBG008LNZHW7,2022-12-15T00:00:00Z
144,ACWI,iShares MSCI ACWI ETF,stocks,us,XNAS,ETF,True,usd,0001100663,BBG000TH6VB3,BBG001S56QV7,2022-12-15T00:00:00Z
145,ACWV,iShares MSCI Global Min Vol Factor ETF,stocks,us,BATS,ETF,True,usd,0001100663,BBG0025X38X0,BBG0025X39Q6,2022-12-15T00:00:00Z
146,ACWX,iShares MSCI ACWI ex US ETF,stocks,us,XNAS,ETF,True,usd,0001100663,BBG000TH7DF8,BBG001S56R18,2022-12-15T00:00:00Z
147,ACXP,"Acurx Pharmaceuticals, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001736243,BBG01184DNJ4,BBG01184DNK2,2022-12-15T00:00:00Z
148,ADAG,Adagene Inc. American Depositary Shares,stocks,us,XNAS,ADRC,True,usd,0001818838,BBG00YZ6BYJ6,BBG00YZ6BZC0,2022-12-15T00:00:00Z
149,ADAL,Anthemis Digital Acquisitions I Corp Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001853928,,,2022-12-15T00:00:00Z
150,ADALU,Anthemis Digital Acquisitions I Corp Unit,stocks,us,XNAS,UNIT,True,usd,0001853928,,,2022-12-15T00:00:00Z
151,ADALW,Anthemis Digital Acquisitions I Corp Warrant,stocks,us,XNAS,WARRANT,True,usd,0001853928,,,2022-12-15T00:00:00Z
152,ADAP,Adaptimmune Therapeutics plc American Depositary Shares,stocks,us,XNAS,ADRC,True,usd,0001621227,BBG008G65WC2,BBG008G65WD1,2022-12-15T00:00:00Z
153,ADBE,Adobe Inc.,stocks,us,XNAS,CS,True,usd,0000796343,BBG000BB5006,BBG001S5NCQ5,2022-12-15T00:00:00Z
154,ADC,Agree Realty Corporation,stocks,us,XNYS,CS,True,usd,0000917251,BBG000BC9DK0,BBG001S6RY81,2022-12-15T00:00:00Z
155,ADCT,ADC Therapeutics SA,stocks,us,XNYS,CS,True,usd,0001771910,,,2022-12-15T00:00:00Z
156,ADCpA,"Agree Realty Corporation Depositary Shares, each representing 1/1,000th of a 4.250% Series A Cumulative Redeemable Preferred Stock",stocks,us,XNYS,PFD,True,usd,0000917251,,,2022-12-15T00:00:00Z
157,ADD,Color Star Technology Co. Ltd. Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001747661,,,2022-12-15T00:00:00Z
158,ADEA,Adeia Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001803696,BBG00RBFBL50,BBG00RBFBL78,2022-12-15T00:00:00Z
159,ADER,26 Capital Acquisition Corp. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001822912,BBG00Z486423,BBG00Z486502,2022-12-15T00:00:00Z
